1	0139163050
2	0139163050
1	0137905696
2	0137905696
1	0131180436
2	0131180436
1	0132719746
2	0132719746
1	0131173340
2	0131173340
1	0130132497
2	0130132497
1	0130895725
1	0132261197
1	0130895717
1	0135289106
1	0130895636
1	013028419X
1	0130161438
1	0130856118
1	0130125075
1	0138993947
1	0130852481
1	0130829277
1	0134569555
1	0130829293
1	0130284173
1	0130284181
1	0130895601
2	0130895725
2	0132261197
2	0130895717
2	0135289106
2	0130895636
2	013028419X
2	0130161438
2	0130856118
2	0130125075
2	0138993947
2	0130852481
2	0130829277
2	0134569555
2	0130829293
2	0130284173
2	0130284181
2	0130895601
3	013028419X
3	0130161438
3	0130856118
3	0134569555
3	0130829293
3	0130284173
3	0130284181
5	0130895601
6	0130284173
7	0130284173
8	0130284181
1	0130293636
2	0130293636
3	0130293636
1	0130308978
2	0130308978
3	0130308978
1	0130323640
2	0130323640
4	0130323640
1	0130341517
2	0130341517
1	0130622214
2	0130622214
3	0130622214
9	0130622214
10	0130622214
1	0130622265
2	0130622265
3	0130622265
4	0130622265
1	0130649341
2	0130649341
1	0130895512
2	0130895512
3	0130895512
1	0130895547
2	0130895547
3	0130895547
8	0130895547
1	0130895563
2	0130895563
3	0130895563
1	013089561X
2	013089561X
3	013089561X
1	0130923613
2	0130923613
11	0130923613
12	0130923613
1	0136325890
2	0136325890
13	0130622214
